Category,A,B,C,D,E,F,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,F.9,G,G.1,G.2,G.3,G.4,G.5,G.6,G.7,G.8,G.9,H,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,I,I.1,I.2,I.3,I.4,I.5,I.6,I.7,I.8,I.9,J,J.1,J.2,J.3,J.4,J.5,J.6,J.7,J.8,J.9,Selected,No,t-SNE-x,t-SNE-y
Hand,-0.340643094,-0.115680489,-0.404534079,-0.530186619,-0.529842655,0.867333,0.0946667,0.0246667,0.00733333,0.00233333,0.00133333,0.00133333,0.000333333,0.0,0.000666667,0.037,0.130667,0.240333,0.181,0.164333,0.121333,0.046,0.0256667,0.0236667,0.03,0.059,0.161,0.221333,0.218333,0.147,0.0783333,0.058,0.037,0.016,0.004,0.0306667,0.119333,0.209667,0.237333,0.190333,0.120667,0.0606667,0.0246667,0.00633333,0.000333333,0.00933333,0.0653333,0.182,0.190667,0.047,0.0443333,0.181333,0.192,0.0753333,0.0126667,No,193,1.2693572632634957,-9.363006876801046
Hand,-0.337966686,-0.069099404,-0.412390398,-0.686680147,-0.288478499,0.962,0.0296667,0.00566667,0.001,0.001,0.0,0.000333333,0.0,0.0,0.000333333,0.0136667,0.0583333,0.151,0.233667,0.180333,0.111,0.100667,0.0843333,0.0373333,0.0296667,0.0503333,0.142667,0.218667,0.213667,0.148333,0.0983333,0.0703333,0.0393333,0.0126667,0.00566667,0.0156667,0.0696667,0.153333,0.207,0.200333,0.157,0.105333,0.063,0.0216667,0.007,0.0203333,0.0996667,0.192667,0.150667,0.0306667,0.0573333,0.185333,0.172667,0.0793333,0.0113333,No,194,0.5326796559015055,3.683620188671504
Hand,-0.324097812,-0.129057586,-0.380441485,-0.616800996,-0.461429749,0.951,0.041,0.003,0.00266667,0.000666667,0.000333333,0.0,0.000333333,0.000333333,0.000666667,0.0306667,0.122667,0.274,0.199333,0.101333,0.095,0.0856667,0.043,0.0286667,0.0196667,0.0516667,0.161667,0.239333,0.217,0.143667,0.0836667,0.052,0.0276667,0.017,0.00633333,0.0153333,0.097,0.176333,0.231333,0.204,0.135,0.0873333,0.0376667,0.0126667,0.00333333,0.017,0.0913333,0.185333,0.167,0.033,0.0313333,0.160333,0.204333,0.092,0.0183333,No,195,2.0752858572366075,4.7072025397066
Hand,-0.334024045,-0.10453627,-0.435921953,-0.6139905,-0.520056241,0.994,0.00333333,0.001,0.000666667,0.000333333,0.0,0.0,0.000333333,0.0,0.000333333,0.02,0.118,0.219333,0.238,0.182,0.120333,0.0426667,0.0296667,0.0173333,0.0126667,0.0503333,0.152333,0.210667,0.230667,0.165667,0.0933333,0.0593333,0.0243333,0.01,0.00333333,0.027,0.120333,0.238333,0.231333,0.172667,0.109333,0.0606667,0.0276667,0.0113333,0.00133333,0.00266667,0.024,0.112,0.226333,0.122333,0.0243333,0.191,0.216667,0.0703333,0.0103333,No,196,5.364372137144523,0.9173653549393449
Hand,-0.346189005,-0.083471882,-0.419281375,-0.704181873,-0.563843096,0.998667,0.000666667,0.000333333,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0466667,0.128333,0.223,0.208667,0.163667,0.114667,0.0513333,0.0273333,0.0236667,0.0126667,0.0583333,0.142667,0.238333,0.219,0.162,0.086,0.046,0.0293333,0.015,0.00333333,0.024,0.0923333,0.178333,0.219333,0.191,0.147667,0.0903333,0.04,0.0143333,0.00266667,0.016,0.0826667,0.182,0.176,0.0306667,0.046,0.196667,0.191333,0.0663333,0.0123333,No,197,1.633318695008164,3.2583126061306857
Hand,-0.654844304,-0.489200124,-0.449814333,-0.701115877,0.4084325,0.943,0.0436667,0.00966667,0.00233333,0.000333333,0.0,0.000666667,0.0,0.0,0.000333333,0.112,0.113333,0.126333,0.122,0.120667,0.110667,0.0826667,0.085,0.052,0.0753333,0.068,0.197667,0.222333,0.147333,0.100667,0.096,0.0803333,0.0543333,0.0286667,0.00466667,0.00933333,0.0543333,0.128333,0.181667,0.205,0.189,0.120667,0.0736667,0.029,0.009,0.0126667,0.0763333,0.186,0.161,0.0456667,0.02,0.134,0.201,0.13,0.0333333,No,198,-0.8718112034867639,7.455736663904484
Hand,-0.201789345,-0.535340686,-0.109923002,-0.465034211,-0.213621849,0.953333,0.035,0.00666667,0.001,0.002,0.000666667,0.001,0.0,0.0,0.000333333,0.0163333,0.0286667,0.121667,0.214,0.145,0.114333,0.111333,0.0893333,0.0736667,0.0856667,0.048,0.142,0.229667,0.193,0.139333,0.0936667,0.0733333,0.048,0.026,0.007,0.0126667,0.061,0.134667,0.188333,0.206333,0.181,0.130667,0.0666667,0.0156667,0.003,0.0213333,0.114,0.189333,0.137333,0.0346667,0.0253333,0.127,0.183667,0.138667,0.0286667,No,199,-0.4151949181398176,5.335186716668721
Hand,-0.369988794,-0.454801008,-0.341770798,-0.47998094,0.303853002,0.966667,0.0266667,0.00333333,0.00133333,0.000666667,0.000333333,0.000333333,0.0,0.0,0.000666667,0.061,0.121333,0.157333,0.161333,0.169333,0.133333,0.113333,0.0526667,0.02,0.0103333,0.0536667,0.142,0.200333,0.176333,0.161,0.118333,0.0813333,0.0456667,0.0153333,0.006,0.0333333,0.138333,0.222333,0.232,0.184,0.109,0.0523333,0.0203333,0.00566667,0.00266667,0.011,0.0863333,0.185,0.186333,0.0383333,0.0546667,0.201,0.167333,0.0616667,0.00833333,No,200,2.2293722186713767,2.566492371787855
Plier,-0.804732532,-0.223242038,-0.598630935,-0.106568218,2.344005349,0.986333,0.0103333,0.002,0.000666667,0.000333333,0.0,0.0,0.0,0.0,0.000333333,0.045,0.136333,0.118,0.119333,0.131667,0.132,0.105,0.115333,0.0776667,0.0196667,0.086,0.163,0.154333,0.154,0.190333,0.115333,0.0676667,0.039,0.0233333,0.007,0.055,0.190667,0.261667,0.201667,0.102,0.0796667,0.0553333,0.0293333,0.0193333,0.00533333,0.0193333,0.079,0.191333,0.165667,0.035,0.0656667,0.206667,0.151,0.076,0.0103333,No,201,13.507451739259237,-6.649952481615002
Plier,-0.785671169,-0.212736745,-0.595860652,0.20629109,2.22015611,0.967333,0.0246667,0.004,0.00166667,0.000666667,0.000666667,0.000333333,0.0,0.0,0.000666667,0.0453333,0.134333,0.106,0.114333,0.139333,0.121,0.119667,0.113333,0.085,0.0216667,0.096,0.147667,0.151333,0.141,0.182333,0.139667,0.0643333,0.049,0.0233333,0.00533333,0.0476667,0.210667,0.280667,0.185333,0.111667,0.0683333,0.047,0.032,0.0123333,0.00433333,0.017,0.0836667,0.178667,0.167333,0.0343333,0.0796667,0.204,0.166667,0.0646667,0.004,No,202,13.203260989450854,-7.384011994226369
Plier,-0.74940449,-0.202836752,-0.587519524,0.551598851,1.996041277,0.931,0.0496667,0.0113333,0.00333333,0.00133333,0.00133333,0.001,0.000666667,0.0,0.000333333,0.0466667,0.125667,0.112,0.136667,0.129333,0.114667,0.111333,0.112333,0.093,0.0183333,0.102333,0.146333,0.153667,0.143,0.155,0.153333,0.0816667,0.0386667,0.0203333,0.00566667,0.067,0.234,0.270667,0.159667,0.103667,0.0833333,0.0453333,0.0253333,0.00966667,0.00133333,0.021,0.0946667,0.172,0.17,0.0413333,0.0613333,0.181,0.162333,0.077,0.0193333,No,203,12.998022254476147,-8.679149494786943
Plier,-0.886165796,-0.233072758,-0.630525347,-0.729348587,3.45707981,0.988333,0.00733333,0.00266667,0.001,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.0703333,0.122,0.137,0.112,0.119,0.0996667,0.0966667,0.0956667,0.0786667,0.069,0.104667,0.153667,0.160667,0.159333,0.141333,0.101667,0.074,0.0543333,0.0373333,0.013,0.0523333,0.212667,0.287667,0.172667,0.123667,0.0666667,0.0486667,0.0203333,0.0113333,0.004,0.0113333,0.075,0.158,0.190333,0.0643333,0.0366667,0.179,0.181333,0.0863333,0.0176667,No,204,14.248040292081074,-6.777008266938571
Plier,-0.785089544,-0.199635395,-0.591887965,0.21331733,2.441578989,0.929,0.0536667,0.011,0.00366667,0.00166667,0.000333333,0.000333333,0.0,0.0,0.000333333,0.0313333,0.106,0.126,0.120333,0.125,0.116667,0.102,0.106333,0.094,0.0723333,0.0913333,0.142333,0.153333,0.164,0.180333,0.120333,0.0743333,0.042,0.0236667,0.00833333,0.0403333,0.176333,0.246667,0.208667,0.122667,0.0783333,0.058,0.0376667,0.027,0.00433333,0.008,0.0643333,0.154667,0.181,0.083,0.0226667,0.156333,0.184667,0.112667,0.0326667,No,205,13.495383877645079,-8.573707526973449
Plier,-0.750595825,-0.186554221,-0.59358622,0.567695328,2.099284481,0.982333,0.0113333,0.004,0.001,0.000666667,0.0,0.000333333,0.0,0.0,0.000333333,0.0263333,0.112667,0.122,0.117,0.127667,0.111667,0.115333,0.103667,0.104333,0.0593333,0.098,0.144333,0.152,0.152333,0.145,0.146,0.0983333,0.04,0.018,0.006,0.0626667,0.209,0.280333,0.178333,0.0963333,0.072,0.0556667,0.0266667,0.0136667,0.00533333,0.0176667,0.0906667,0.172,0.166,0.0516667,0.0553333,0.184333,0.170333,0.0796667,0.0123333,No,206,13.640916349585218,-7.108472402268958
Plier,-0.744056354,-0.177125015,-0.596918966,0.705154134,1.936803769,0.979333,0.015,0.00333333,0.001,0.001,0.0,0.0,0.0,0.0,0.000333333,0.034,0.102667,0.117667,0.131667,0.107333,0.104667,0.105667,0.109333,0.0963333,0.0906667,0.0916667,0.130667,0.149333,0.159667,0.146333,0.148333,0.107333,0.0456667,0.0163333,0.00466667,0.0666667,0.206667,0.254,0.165,0.120667,0.078,0.0516667,0.0303333,0.0186667,0.00833333,0.0213333,0.088,0.157667,0.191333,0.0533333,0.0436667,0.179,0.16,0.0883333,0.0173333,No,207,13.903909471276863,-7.2767882352277455
Plier,-0.681834249,-0.144391816,-0.586335466,1.387721418,1.864585815,0.911,0.068,0.012,0.00433333,0.00166667,0.00166667,0.000666667,0.000333333,0.0,0.000333333,0.0316667,0.0873333,0.122667,0.135,0.120667,0.112667,0.107333,0.0976667,0.0923333,0.0926667,0.096,0.154667,0.149333,0.153333,0.143,0.133667,0.106,0.047,0.0116667,0.00533333,0.0483333,0.212667,0.267667,0.18,0.109333,0.0816667,0.0533333,0.0286667,0.014,0.00433333,0.0203333,0.094,0.174,0.170667,0.0353333,0.083,0.198,0.157333,0.0596667,0.00766667,No,208,12.890465327679712,-8.900013182386482
Plier,-0.662784588,-0.150034543,-0.5765449,1.555073682,2.457270756,0.986,0.0106667,0.00166667,0.000666667,0.0,0.0,0.0,0.000333333,0.000333333,0.000333333,0.023,0.098,0.145,0.131333,0.116,0.107,0.104333,0.100667,0.093,0.0816667,0.091,0.157,0.146,0.154,0.134667,0.111,0.102333,0.0666667,0.0296667,0.00766667,0.0643333,0.221667,0.250333,0.180667,0.12,0.077,0.0473333,0.026,0.01,0.00266667,0.022,0.089,0.172,0.178667,0.0416667,0.049,0.181,0.175,0.0766667,0.015,No,209,13.8493814182017,-7.105316707072075
Plier,-0.736661416,-0.18648024,-0.590408071,0.636169231,2.428317728,0.998667,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.047,0.106667,0.153,0.125667,0.120333,0.108,0.0943333,0.0913333,0.088,0.0656667,0.096,0.139333,0.156667,0.154333,0.150333,0.125667,0.0873333,0.053,0.0303333,0.007,0.0493333,0.235333,0.298,0.171,0.102,0.0766667,0.036,0.019,0.0103333,0.00233333,0.0146667,0.0846667,0.170667,0.185667,0.0443333,0.07,0.202333,0.152333,0.065,0.0103333,No,210,13.667755374143448,-6.46781342454031
Plier,-0.825355037,-0.199608493,-0.615572515,-0.19714284,3.084282948,0.985667,0.0123333,0.00166667,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.058,0.108,0.148333,0.128667,0.107,0.102667,0.107333,0.095,0.0803333,0.0646667,0.109,0.135667,0.137667,0.152667,0.155,0.122667,0.0776667,0.0573333,0.0353333,0.017,0.0396667,0.212333,0.271333,0.188667,0.105333,0.0846667,0.052,0.028,0.013,0.005,0.021,0.100667,0.174,0.181333,0.0303333,0.0736667,0.205667,0.152667,0.0526667,0.008,No,211,13.832412859127896,-6.440137915626229
Plier,-0.929241108,-0.286768791,-0.63597864,-0.729220837,3.472277729,0.894333,0.081,0.015,0.005,0.00133333,0.001,0.001,0.0,0.000666667,0.000666667,0.104,0.109667,0.111333,0.124,0.102667,0.102,0.101667,0.0933333,0.0856667,0.0656667,0.111333,0.177667,0.165,0.158667,0.119667,0.0993333,0.0723333,0.051,0.0336667,0.0113333,0.036,0.168333,0.263333,0.220667,0.133667,0.0846667,0.0466667,0.0276667,0.013,0.006,0.0163333,0.092,0.192333,0.169667,0.039,0.047,0.193667,0.156667,0.078,0.0153333,No,212,13.072056295967563,-9.51396785804895
Plier,-0.961575678,-0.217861606,-0.64821284,-0.729987336,3.935937713,0.953667,0.0363333,0.00666667,0.00166667,0.000333333,0.000333333,0.0,0.0,0.000333333,0.000666667,0.029,0.118,0.152,0.144,0.116667,0.102667,0.105,0.0993333,0.07,0.0633333,0.118,0.192333,0.202,0.144,0.118333,0.091,0.068,0.045,0.0173333,0.004,0.0316667,0.108333,0.176333,0.213333,0.185,0.123667,0.0703333,0.052,0.0296667,0.00966667,0.0256667,0.096,0.184333,0.154333,0.036,0.0346667,0.143667,0.188,0.110333,0.027,No,213,14.406548653970448,-8.449798273344088
Plier,-0.931636651,-0.225838096,-0.637220227,-0.729476337,3.400824755,0.902667,0.074,0.0153333,0.00366667,0.00133333,0.000666667,0.001,0.0,0.000333333,0.001,0.036,0.107,0.159333,0.129,0.118333,0.110667,0.101333,0.0956667,0.0796667,0.063,0.103667,0.169,0.192333,0.158,0.117333,0.0936667,0.0836667,0.048,0.024,0.0103333,0.0313333,0.137667,0.212,0.211333,0.161333,0.0966667,0.064,0.0483333,0.0306667,0.00666667,0.00733333,0.0696667,0.162667,0.202333,0.0693333,0.018,0.131,0.196667,0.115667,0.0273333,No,214,13.266357939932162,-9.576438631048584
Plier,-0.887942266,-0.213893538,-0.622790497,-0.729859586,2.982100063,0.908,0.068,0.0136667,0.00633333,0.00133333,0.000333333,0.000666667,0.001,0.000333333,0.000333333,0.0426667,0.107333,0.140667,0.139333,0.109667,0.104,0.104333,0.099,0.086,0.067,0.104333,0.148333,0.213667,0.179333,0.122,0.096,0.065,0.0433333,0.0216667,0.00633333,0.038,0.154,0.242333,0.218667,0.138,0.092,0.0566667,0.0403333,0.0186667,0.00133333,0.0173333,0.0906667,0.182667,0.159333,0.0443333,0.038,0.165333,0.188333,0.0973333,0.0166667,No,215,13.192459372345747,-9.49519323036234
Plier,-0.87008277,-0.209004071,-0.618120698,-0.728837588,2.822291938,0.994667,0.00333333,0.00133333,0.0,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.0376667,0.112,0.148667,0.13,0.129333,0.105333,0.0973333,0.084,0.0923333,0.0633333,0.0936667,0.158,0.167667,0.186333,0.133667,0.115333,0.0713333,0.0393333,0.0253333,0.00933333,0.0456667,0.148,0.246,0.213,0.126333,0.0836667,0.0606667,0.049,0.0196667,0.008,0.0343333,0.112667,0.179333,0.147667,0.022,0.052,0.165667,0.178667,0.09,0.0176667,No,216,14.59730541923016,-7.110909302338375
Plier,-0.73256664,-0.164037116,-0.581389422,0.855260172,2.200339263,0.994667,0.003,0.001,0.000333333,0.0,0.000666667,0.0,0.0,0.0,0.000333333,0.035,0.113,0.133333,0.123333,0.111333,0.116667,0.104333,0.0966667,0.09,0.0763333,0.0966667,0.132333,0.161333,0.166333,0.177333,0.136,0.0633333,0.0373333,0.022,0.00733333,0.042,0.181,0.263333,0.193667,0.118667,0.0796667,0.0553333,0.04,0.019,0.00733333,0.0156667,0.087,0.158667,0.177333,0.0506667,0.037,0.190333,0.174,0.0943333,0.015,No,217,14.172021137871115,-7.0198113160546685
Plier,-0.630774183,-0.136085775,-0.555394642,1.991978064,1.833357215,0.983333,0.0126667,0.00133333,0.001,0.000666667,0.000666667,0.0,0.0,0.0,0.000333333,0.0286667,0.119,0.12,0.116333,0.116333,0.115,0.114333,0.101667,0.105333,0.0633333,0.0873333,0.137333,0.153667,0.156333,0.172333,0.156333,0.0703333,0.043,0.017,0.00633333,0.0373333,0.181333,0.254,0.204667,0.116,0.091,0.0543333,0.0356667,0.0196667,0.006,0.0193333,0.0856667,0.162,0.189667,0.035,0.054,0.2,0.167667,0.0683333,0.0183333,No,218,13.788266108449498,-7.242669922163287
Plier,-0.753735661,-0.036278773,-0.625924297,1.664810776,3.157919503,0.958333,0.0293333,0.00866667,0.00133333,0.000666667,0.001,0.0,0.0,0.000333333,0.000333333,0.0443333,0.091,0.169667,0.146333,0.120667,0.107667,0.0973333,0.103667,0.0963333,0.023,0.0986667,0.141667,0.174333,0.160333,0.134333,0.113,0.0726667,0.066,0.038,0.001,0.071,0.271333,0.278333,0.166,0.106667,0.059,0.0296667,0.0113333,0.00566667,0.001,0.00566667,0.0593333,0.172667,0.205333,0.057,0.0836667,0.221667,0.148667,0.041,0.005,No,219,12.847701713627844,-7.450773786675832
Plier,-0.766697575,-0.024650315,-0.622248694,1.384144423,3.388972412,0.918667,0.064,0.0103333,0.00333333,0.00133333,0.00133333,0.000666667,0.0,0.0,0.000333333,0.036,0.0826667,0.189333,0.151667,0.116333,0.116,0.101667,0.104667,0.09,0.0116667,0.09,0.151333,0.168667,0.147667,0.149333,0.123667,0.0846667,0.0536667,0.0273333,0.00366667,0.0616667,0.246333,0.283,0.175333,0.102667,0.0683333,0.035,0.0206667,0.00566667,0.00133333,0.001,0.0266667,0.105,0.22,0.135,0.0186667,0.171333,0.208667,0.096,0.0176667,No,220,12.443366355094327,-8.384239738767556
Fish,-0.501708575,-0.672770354,-0.254480342,-0.644522707,-0.229429815,0.994,0.004,0.00133333,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0593333,0.112333,0.143667,0.192,0.141,0.105333,0.0736667,0.0553333,0.069,0.0483333,0.0473333,0.148667,0.206667,0.183,0.142333,0.097,0.086,0.0516667,0.025,0.0123333,0.027,0.113667,0.222333,0.257333,0.203,0.103333,0.0463333,0.019,0.006,0.002,0.0153333,0.0823333,0.191,0.174333,0.041,0.0493333,0.181,0.177667,0.0753333,0.0126667,No,221,3.2531016580297525,1.9016873871840094
Fish,-0.744223703,-0.683428989,-0.413767168,-0.568000565,-0.094372171,0.980667,0.0156667,0.00233333,0.000666667,0.0,0.0,0.0,0.000333333,0.0,0.000333333,0.184667,0.178333,0.147,0.144333,0.086,0.0686667,0.058,0.053,0.063,0.017,0.0773333,0.197667,0.236,0.163667,0.119,0.0826667,0.0636667,0.035,0.019,0.006,0.008,0.0656667,0.140333,0.214667,0.224333,0.182333,0.097,0.0486667,0.015,0.004,0.00666667,0.0713333,0.205333,0.187,0.0376667,0.0373333,0.184667,0.189667,0.076,0.00433333,No,222,2.1935645318784824,9.080912966562677
Fish,-0.599235397,-0.564532889,-0.410146244,-0.632130975,-0.22537736,0.972,0.0213333,0.00366667,0.000666667,0.002,0.0,0.0,0.0,0.0,0.000333333,0.054,0.153,0.212,0.208,0.116333,0.0756667,0.0713333,0.0676667,0.0303333,0.0116667,0.057,0.19,0.240667,0.199,0.122333,0.0873333,0.0543333,0.0323333,0.015,0.002,0.0203333,0.095,0.161333,0.212,0.216667,0.144333,0.0963333,0.04,0.012,0.002,0.006,0.0653333,0.191333,0.181333,0.0443333,0.046,0.195,0.202667,0.0613333,0.00666667,No,223,2.36630632159203,7.894422462927991
Fish,-0.784363977,-0.631115054,-0.473974607,-0.68489165,0.18152888,0.966333,0.026,0.00466667,0.00133333,0.000666667,0.0,0.000666667,0.0,0.0,0.000333333,0.116667,0.186667,0.121667,0.148,0.112667,0.0846667,0.0656667,0.0686667,0.0466667,0.0486667,0.08,0.217667,0.216,0.153333,0.113333,0.0813333,0.0596667,0.05,0.0216667,0.007,0.0266667,0.0946667,0.166667,0.224333,0.204,0.159,0.079,0.034,0.0103333,0.00133333,0.003,0.0743333,0.216,0.165333,0.0366667,0.0543333,0.188333,0.195,0.063,0.004,No,224,2.715459737261617,8.578235830451789
Fish,-0.661860075,-0.576745795,-0.439585623,-0.697922131,-0.303468227,0.936,0.0476667,0.00866667,0.00466667,0.001,0.000666667,0.001,0.0,0.0,0.000333333,0.0806667,0.158667,0.203667,0.177667,0.112333,0.0843333,0.0693333,0.05,0.0283333,0.035,0.0713333,0.181667,0.246333,0.179,0.111667,0.0816667,0.0656667,0.0393333,0.017,0.00633333,0.018,0.0773333,0.169667,0.232,0.207333,0.160667,0.088,0.0316667,0.012,0.00333333,0.0166667,0.0986667,0.207333,0.157333,0.0256667,0.0656667,0.199333,0.172,0.052,0.00533333,No,225,3.563011974167249,7.894533349532745
Fish,-0.764980789,-0.681310444,-0.427517063,-0.524310127,-0.0779009,0.967333,0.0243333,0.00533333,0.00133333,0.001,0.000333333,0.0,0.0,0.0,0.000333333,0.188,0.186,0.15,0.108333,0.083,0.0726667,0.0563333,0.0606667,0.0733333,0.0216667,0.074,0.205667,0.250667,0.160667,0.116333,0.0846667,0.0563333,0.027,0.0193333,0.00533333,0.015,0.072,0.128333,0.194333,0.204667,0.186333,0.123,0.0606667,0.014,0.00166667,0.00666667,0.077,0.198333,0.169333,0.0543333,0.017,0.115667,0.2,0.14,0.0216667,No,226,1.602907086837563,9.46804558991235
Fish,-0.764980789,-0.681310444,-0.427517063,-0.524310127,-0.0779009,0.992,0.00666667,0.000333333,0.0,0.000333333,0.000333333,0.0,0.0,0.0,0.000333333,0.180667,0.175333,0.155667,0.116333,0.0893333,0.07,0.064,0.0556667,0.068,0.025,0.062,0.188,0.246333,0.168333,0.126667,0.086,0.0603333,0.0336667,0.0196667,0.009,0.0133333,0.0436667,0.111333,0.164333,0.194333,0.185,0.154,0.0806667,0.044,0.00933333,0.0193333,0.121333,0.197667,0.127667,0.025,0.038,0.147667,0.196667,0.113,0.0136667,No,227,0.8212885807929787,9.48180748950949
Fish,-0.684791523,-0.666559991,-0.38840645,-0.560974325,-0.078646513,0.959667,0.031,0.00666667,0.00166667,0.000333333,0.000333333,0.0,0.0,0.0,0.000333333,0.174,0.152,0.150333,0.171,0.0813333,0.066,0.059,0.0583333,0.0523333,0.0356667,0.0616667,0.183,0.244667,0.161667,0.126667,0.0916667,0.062,0.0406667,0.0203333,0.00766667,0.0203333,0.081,0.165333,0.208333,0.213,0.159667,0.092,0.0403333,0.014,0.006,0.00766667,0.0783333,0.197,0.174667,0.0523333,0.0306667,0.146,0.198333,0.101333,0.0136667,No,228,2.0722696047741986,8.783805138421531
Fish,-0.72577205,-0.684581074,-0.397714345,-0.590356784,-0.156282266,0.875333,0.09,0.0206667,0.00566667,0.00466667,0.00133333,0.00133333,0.000333333,0.0,0.000666667,0.189667,0.162,0.164,0.146,0.0836667,0.071,0.044,0.048,0.0556667,0.036,0.0703333,0.194667,0.248,0.164667,0.129333,0.082,0.0576667,0.0346667,0.013,0.00566667,0.021,0.0766667,0.153,0.194,0.214667,0.172333,0.0983333,0.0466667,0.0186667,0.00466667,0.009,0.1,0.217333,0.163333,0.0246667,0.0606667,0.177667,0.184333,0.058,0.005,No,229,4.734289346074034,7.680053711186036
Fish,-0.445487616,-0.6710049,-0.211650847,-0.611691003,-0.254403012,0.989667,0.007,0.00233333,0.000333333,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.0633333,0.115667,0.148667,0.196333,0.136333,0.0906667,0.074,0.063,0.0623333,0.0496667,0.0463333,0.136,0.21,0.177,0.145667,0.108,0.0893333,0.049,0.0266667,0.012,0.0453333,0.136,0.246333,0.27,0.167667,0.0873333,0.0323333,0.01,0.004,0.001,0.009,0.0683333,0.201,0.172333,0.0466667,0.0323333,0.157333,0.205333,0.0946667,0.013,No,230,3.37545107005974,1.7799292823271995
Fish,-0.650314187,-0.641806644,-0.38472675,-0.661768933,-0.167326055,0.938667,0.045,0.011,0.003,0.001,0.000666667,0.000333333,0.0,0.0,0.000333333,0.110667,0.192667,0.150333,0.151333,0.113333,0.0793333,0.059,0.0713333,0.043,0.029,0.0516667,0.177,0.245,0.186667,0.125,0.088,0.055,0.0353333,0.0286667,0.00766667,0.0123333,0.0603333,0.143667,0.223,0.207333,0.176667,0.108,0.0546667,0.012,0.002,0.007,0.067,0.197,0.182667,0.0466667,0.0316667,0.173,0.201,0.087,0.007,No,231,2.9151329063857476,8.073284905324208
Fish,-0.742028276,-0.633045957,-0.440023767,-0.591634282,0.276580024,0.984,0.0123333,0.00266667,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000666667,0.096,0.170333,0.167333,0.118333,0.095,0.0896667,0.0856667,0.08,0.0653333,0.0323333,0.066,0.195,0.230333,0.176667,0.104,0.0896667,0.053,0.0436667,0.0316667,0.01,0.0113333,0.0613333,0.14,0.187333,0.216333,0.182,0.11,0.0633333,0.024,0.00433333,0.0156667,0.099,0.207667,0.142333,0.036,0.0443333,0.156667,0.205333,0.0833333,0.00966667,No,232,1.5425878856841053,9.007526523403852
Fish,-0.172380451,-0.627534377,-0.084841912,-0.685402649,-0.588267735,0.954667,0.0316667,0.00833333,0.00266667,0.000666667,0.000666667,0.000333333,0.000333333,0.0,0.000666667,0.06,0.139667,0.174,0.244667,0.180667,0.091,0.0386667,0.0206667,0.0256667,0.025,0.055,0.123667,0.180333,0.233667,0.191333,0.1,0.055,0.042,0.015,0.004,0.0136667,0.063,0.128667,0.210667,0.238667,0.186333,0.107333,0.036,0.0133333,0.00233333,0.00433333,0.0423333,0.165667,0.213667,0.0756667,0.0216667,0.139333,0.209333,0.111333,0.0166667,No,233,1.7620237229976308,5.310724422166236
Fish,-0.475344724,-0.603303605,-0.30502189,-0.582691794,-0.325846303,0.980667,0.0136667,0.004,0.0,0.001,0.0,0.000333333,0.0,0.0,0.000333333,0.087,0.166333,0.224333,0.166667,0.120667,0.0583333,0.057,0.0516667,0.034,0.034,0.051,0.145667,0.236,0.235,0.141,0.0893333,0.05,0.0296667,0.0163333,0.006,0.0203333,0.075,0.152,0.205333,0.214667,0.172667,0.0983333,0.0426667,0.0146667,0.00433333,0.019,0.108333,0.205667,0.147333,0.0306667,0.037,0.150333,0.196,0.092,0.0136667,No,234,1.8678596728799435,8.393325769533897
Fish,-0.760625042,-0.632318253,-0.461385973,-0.608114008,0.065179347,0.981333,0.013,0.004,0.000666667,0.0,0.0,0.000333333,0.000333333,0.0,0.000333333,0.117667,0.177333,0.133667,0.109667,0.138,0.0943333,0.0733333,0.0546667,0.0553333,0.046,0.069,0.204333,0.216,0.15,0.125,0.0916667,0.0663333,0.0466667,0.0233333,0.00766667,0.0193333,0.0706667,0.148,0.212333,0.224333,0.171667,0.103333,0.036,0.0123333,0.002,0.0116667,0.0913333,0.213667,0.165667,0.0406667,0.034,0.145,0.193667,0.0906667,0.0136667,No,235,1.8564198154163543,8.804350034569568
Fish,-0.818496082,-0.582987768,-0.519571893,-0.655636941,0.296314563,0.962,0.032,0.003,0.001,0.001,0.000333333,0.0,0.0,0.000333333,0.000333333,0.0873333,0.187,0.131667,0.139667,0.141,0.07,0.0816667,0.0776667,0.0456667,0.0383333,0.0743333,0.204667,0.208,0.147667,0.120667,0.092,0.0623333,0.0506667,0.0236667,0.016,0.025,0.102,0.17,0.214,0.207,0.150667,0.083,0.0396667,0.00766667,0.001,0.0286667,0.139,0.222667,0.123,0.0113333,0.0986667,0.202667,0.144333,0.0273333,0.00233333,No,236,3.5288129586939396,9.095053450051438
